央视,#genre#
湖北卫视,http://w.wbravo.com:83/tv/migu_gh.php?id=hbwshd
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
湖北卫视,http://314644.me:19999/rtp/239.49.8.147:6000

东南卫视,http://w.wbravo.com:83/tv/migu_gh.php?id=dnwshd
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub
东南卫视,http://314644.me:19999/rtp/239.49.1.45:6000

江西卫视,http://w.wbravo.com:83/tv/migu_gh.php?id=jxwshd
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
江西卫视,http://314644.me:19999/rtp/239.49.8.185:6000

吉林卫视,http://w.wbravo.com:83/tv/migu_gh.php?id=jlws
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
吉林卫视,http://314644.me:19999/rtp/239.49.1.49:6000

兵团卫视,http://w.wbravo.com:83/tv/migu.php?id=956923145
兵团卫视,http://w.wbravo.com:83/tv/migu_gh.php?id=btws

海峡卫视,http://w.wbravo.com:83/tv/migu_gh.php?id=hxws

陕西卫视,http://w.wbravo.com:83/tv/migu.php?id=738910838
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/snwshd.m3u8?auth=testpub

宁夏卫视,http://w.wbravo.com:83/tv/migu.php?id=738910535
宁夏卫视,http://38.75.136.137:98/gslb/dsdqpub/nxws.m3u8?auth=testpub

大湾区卫视,http://w.wbravo.com:83/tv/migu.php?id=608917627

农林卫视,http://w.wbravo.com:83/tv/migu.php?id=956904896

深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
深圳卫视,http://74.91.26.218:82/live/szwshd.m3u8
深圳卫视,http://314644.me:19999/rtp/239.49.8.145:6000

天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
天津卫视,http://314644.me:19999/rtp/239.49.8.148:6000

河北卫视,http://38.75.136.137:98/gslb/dsdqpub/hewshd.m3u8?auth=testpub
河北卫视,http://314644.me:19999/rtp/239.49.8.188:6000

安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
安徽卫视,http://314644.me:19999/rtp/239.49.8.204:6000

重庆卫视,http://38.75.136.137:98/gslb/dsdqpub/cqwshd.m3u8?auth=testpub
重庆卫视,http://314644.me:19999/rtp/239.49.8.149:6000

黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
黑龙江卫视,http://314644.me:19999/rtp/239.49.8.144:6000

青海卫视,http://38.75.136.137:98/gslb/dsdqpub/qhws.m3u8?auth=testpub
青海卫视,http://314644.me:19999/rtp/239.49.1.53:6000

